Community Name,Category,Crime Count,Date
EVERGREEN,Violence Other (Non-domestic),1,1/1/2017 0:00
FAIRVIEW,Break & Enter - Other Premises,1,1/1/2017 0:00
FAIRVIEW,Theft FROM Vehicle,4,1/1/2017 0:00
FAIRVIEW,Theft OF Vehicle,3,1/1/2017 0:00
FAIRVIEW INDUSTRIAL,Theft OF Vehicle,6,1/1/2017 0:00
FALCONRIDGE,Assault (Non-domestic),2,1/1/2017 0:00
FALCONRIDGE,Break & Enter - Commercial,1,1/1/2017 0:00
FALCONRIDGE,Break & Enter - Dwelling,4,1/1/2017 0:00
FALCONRIDGE,Break & Enter - Other Premises,2,1/1/2017 0:00
FALCONRIDGE,Commercial Robbery,1,1/1/2017 0:00
FALCONRIDGE,Street Robbery,1,1/1/2017 0:00
FALCONRIDGE,Theft FROM Vehicle,16,1/1/2017 0:00
FALCONRIDGE,Theft OF Vehicle,9,1/1/2017 0:00
FALCONRIDGE,Violence Other (Non-domestic),1,1/1/2017 0:00
FISH CREEK PARK,Theft FROM Vehicle,1,1/1/2017 0:00
FOOTHILLS,Assault (Non-domestic),1,1/1/2017 0:00
FOOTHILLS,Break & Enter - Commercial,3,1/1/2017 0:00
FOOTHILLS,Theft FROM Vehicle,14,1/1/2017 0:00
FOOTHILLS,Theft OF Vehicle,6,1/1/2017 0:00
FOREST HEIGHTS,Break & Enter - Commercial,3,1/1/2017 0:00
FOREST HEIGHTS,Break & Enter - Dwelling,2,1/1/2017 0:00
FOREST HEIGHTS,Break & Enter - Other Premises,2,1/1/2017 0:00
FOREST HEIGHTS,Commercial Robbery,1,1/1/2017 0:00
FOREST HEIGHTS,Street Robbery,1,1/1/2017 0:00
FOREST HEIGHTS,Theft FROM Vehicle,4,1/1/2017 0:00
FOREST HEIGHTS,Theft OF Vehicle,12,1/1/2017 0:00
FOREST LAWN,Assault (Non-domestic),6,1/1/2017 0:00
FOREST LAWN,Break & Enter - Commercial,3,1/1/2017 0:00
FOREST LAWN,Break & Enter - Dwelling,5,1/1/2017 0:00
FOREST LAWN,Break & Enter - Other Premises,1,1/1/2017 0:00
FOREST LAWN,Commercial Robbery,1,1/1/2017 0:00
FOREST LAWN,Theft FROM Vehicle,12,1/1/2017 0:00
FOREST LAWN,Theft OF Vehicle,23,1/1/2017 0:00
FOREST LAWN,Violence Other (Non-domestic),4,1/1/2017 0:00
FOREST LAWN INDUSTRIAL,Assault (Non-domestic),1,1/1/2017 0:00
FOREST LAWN INDUSTRIAL,Break & Enter - Commercial,1,1/1/2017 0:00
FOREST LAWN INDUSTRIAL,Commercial Robbery,2,1/1/2017 0:00
FOREST LAWN INDUSTRIAL,Street Robbery,1,1/1/2017 0:00
FOREST LAWN INDUSTRIAL,Theft FROM Vehicle,1,1/1/2017 0:00
